# $Id: hT1.tab,v 1.1 2006/11/30 12:17:45 colby Exp $
#
# special file for unit testing
#
#  freq   mmosc  mmbck    vop   lgain   pwr(mV)   errv
#| lo  | osctarg | oscbcktarg | vop | lgain | mW | Vop | mmerr |
#| r      | i    | i    | r   | r    | r         | r    | r |
  65.000  21365  21751   9.50  5.50     24.22  -0.10

# for possible future reference, here is the original
# tuning curve deduced from the hand measure values;
# powers were measured with Hughes pwr meter 

#  freq    mmosc  mmbck  vop   lgain pwr(dBm)
#  89.600  32733  25318  9.50  5.00  14.30
#  89.000  32655  25410  9.50  5.00  13.60
#  88.000  32459  24953  9.50  5.00  14.88
#  87.000  32276  23229  9.50  5.00  15.50
#  86.000  32094  21924  9.50  5.00  16.25
#  85.000  31885  31676  9.50  5.00  16.40
#  84.000  31676  30305  9.50  5.00  16.82
#  83.000  31454  29404  9.50  5.00  17.03
#  82.000  31193  28034  9.50  5.00  17.10
#  81.000  30932  26937  9.50  5.00  17.10
#  80.000  30671  25579  9.50  5.00  17.25
#  79.000  30370  24300  9.50  5.00  17.19
#  78.000  30044  22877  9.50  5.00  17.08
#  77.000  29731  21101  9.50  5.00  17.03
#  76.000  29339  19117  9.50  5.00  16.95
#  75.000  28908  17250  9.50  5.00  16.80
#  74.000  28451  15892  9.50  5.00  16.40
#  73.000  27994  14613  9.50  5.00  15.50
#  72.000  27472  13569  9.50  5.00  14.75
#  71.000  26976  23530  9.50  5.00  10.70
#  70.000  26363  23334  9.50  5.00   5.20
#  69.000  25579  25775  9.50  5.00  12.45
