# h141.osc
# this is a preliminary data set done without modulator; there are
#	some `holes' where phaselock is bad
# tested 13nov97 with pac mm products detector #50
# 06jan99 rp - all loop gains increased by 0.5
# $Id: h141.tab,v 1.1 2005/04/07 22:14:59 colby Exp $
#| lo  | osctarg | oscbcktarg | vop | lgain | mW | Vop | mmerr |
#| r      | i    | i    | r   | r    | r         | r    | r |
#  70.600  23189  21240   9.50   5.11    0.02375    9.48   0.06
  70.600  23189  19040   9.50   5.11    0.02375    9.48   0.06
  70.500  23133  22163   9.50   5.10    0.01833    9.47   0.20
  70.400  23039  22444   9.50   5.10    0.01639    9.48   0.06
  70.300  22939  22738   9.50   5.10    0.01279    9.49   0.01
  70.200  22859  23029   9.50   5.10    0.01044    9.49   0.01
  70.100  22757  23318   9.50   5.10    0.00908    9.48   0.08
  70.000  22657  23608   9.50   5.10    0.00894    9.49   0.01
  69.900  22562  23700   9.50   5.10    0.00802    9.50  -0.16
  69.800  22484  23807   9.50   5.10    0.00733    9.50  -0.12
  69.700  22413  23918   9.50   5.10    0.00616    9.52  -0.32
  69.600  22340  24029   9.50   5.10    0.00434    9.51  -0.21
  69.500  22260  24129   9.50   5.10    0.00285    9.50  -0.15
  69.400  22175  24100   9.46   5.10    0.00181    9.48  -0.34
  69.300  22094  24081   9.42   5.10    0.00099    9.43  -0.18
  69.200  22003  24056   9.38   5.10    0.00047    9.43  -0.61
  69.100  21931  24021   9.34   5.10    0.00022    9.38  -0.49
  69.000  21851  23999   9.30   5.10    0.00004    9.37  -0.80
  68.900  21770  23967   9.34   5.10    0.00000    9.44  -1.09
  68.800  21682  23944   9.38   5.10    0.00007    9.50  -1.27
  68.700  21606  23928   9.42   5.10    0.00020    9.41   0.06
  68.600  21518  23886   9.46   5.10    0.00040    9.44   0.11
  68.500  21442  23870   9.50   5.10    0.00067    9.52  -0.29
  68.400  21360  23811   9.50   5.10    0.00067    9.51  -0.20
  68.300  21278  23762   9.50   5.10    0.00075    9.50  -0.05
  68.200  21200  23703   9.50   5.10    0.00078    9.49   0.06
  68.100  21121  23655   9.50   5.10    0.00080    9.48   0.13
  68.000  21045  23608   9.50   5.10    0.00099    9.48   0.06
  67.900  20968  23550   9.50   5.10    0.00106    9.48   0.14
  67.800  20887  23500   9.50   5.10    0.00120    9.49   0.02
  67.700  20807  23443   9.50   5.10    0.00159    9.47   0.19
  67.600  20731  23385   9.50   5.10    0.00131    9.47   0.22
  67.500  20652  23340   9.50   5.10    0.00115    9.47   0.25
  67.400  20576  23262   9.50   5.10    0.00108    9.48   0.13
  67.300  20497  23182   9.50   5.10    0.00094    9.46   0.28
  67.200  20423  23105   9.50   5.10    0.00094    9.48   0.16
  67.100  20354  23032   9.50   5.10    0.00087    9.46   0.27
  67.000  20279  22947   9.50   5.10    0.00079    9.47   0.23
#  87.700  31476  24822  9.50  4.90   0.04536     9.69  -1.85  23434
