# h138.osc
# tested 5 may 95
# fixed atten #2, Pac MM Prod det #50, bolted directly to
#	LO plate w/g atten; atten=5000; modulator = +300
# 23sep97 - changed all loop gains by +0.3
# 08sep05 - Commented out measured power, vop, mmerrv
#
# $Id: h138.tab,v 1.3 2005/09/22 00:59:49 colby Exp $
#
#| lo    | osctarg | oscbcktarg | vop | lgain |
#| r     | i       | i          | r   | r     |
  90.400  27314      20803       9.50   5.20 #   0.19697    9.49   0.26
  90.200  27248      20514       9.50   5.20 #   0.19515    9.50   0.22
  90.000  27175      20224       9.50   5.20 #   0.19382    9.50   0.19
  90.000  27175      30924       9.50   5.20 #   0.19382    9.50   0.19
  89.800  27083      30659       9.50   5.20 #   0.19579    9.49   0.22
  89.600  26989      30291       9.50   5.20 #   0.20076    9.49   0.19
  89.400  26893      29922       9.50   5.20 #   0.20636    9.49   0.24
  89.200  26804      29553       9.50   5.20 #   0.21024    9.50   0.20
  89.000  26725      29184       9.50   5.20 #   0.21137    9.49   0.27
  88.800  26654      29052       9.50   5.20 #   0.20827    9.49   0.27
  88.600  26561      28920       9.50   5.20 #   0.20850    9.50   0.23
  88.400  26461      28788       9.50   5.20 #   0.21354    9.50   0.21
  88.200  26373      28656       9.50   5.20 #   0.21551    9.50   0.20
  88.000  26290      28525       9.50   5.20 #   0.21777    9.50   0.18
  87.800  26228      28340       9.50   5.20 #   0.21446    9.51   0.16
  87.600  26142      28156       9.50   5.10 #   0.20967    9.50   0.25
  87.400  26044      27972       9.50   5.10 #   0.21087    9.49   0.28
  87.200  25934      27787       9.50   5.10 #   0.21271    9.50   0.22
  87.000  25823      27603       9.50   5.10 #   0.21734    9.50   0.22
  86.800  25742      27655       9.50   5.10 #   0.21823    9.49   0.26
  86.600  25676      27707       9.50   5.10 #   0.21128    9.50   0.23
  86.400  25589      27760       9.50   5.10 #   0.20817    9.50   0.22
  86.200  25488      27813       9.50   5.10 #   0.20775    9.50   0.21
  86.000  25381      27865       9.50   5.10 #   0.21258    9.50   0.22
  85.800  25268      27734       9.50   5.10 #   0.21789    9.50   0.18
  85.600  25175      27602       9.50   5.10 #   0.21478    9.50   0.20
  85.400  25087      27470       9.50   5.10 #   0.21001    9.51   0.15
  85.200  24998      27338       9.50   5.10 #   0.20070    9.44   0.14
  85.000  24892      27207       9.50   5.10 #   0.19253    9.50   0.24
  84.800  24784      27390       9.50   5.10 #   0.19493    9.50   0.21
  84.600  24684      27575       9.50   5.10 #   0.19393    9.51   0.20
