# $Id: h100.tab,v 1.1 2005/04/07 22:14:59 colby Exp $
#| lo  | osctarg | oscbcktarg | vop | lgain1 | dunno1 | dunno2 | dunno3|
#| r      | i    | i    | r   | r    | r         | r    | r |
  71.400  16102  29000  9.50  4.60   0.03032     9.55   0.12
  71.200  15976  28900  9.50  4.60   0.03269     9.53   0.28
  71.000  15853  28800  9.50  4.60   0.02480     9.54   0.16
  70.800  15725  28700  9.50  4.60   0.02717     9.56  -0.02
  70.600  15596  28600  9.50  4.60   0.02736     9.55   0.11
# 70.400  OK
  70.200  15331  28671  9.50  4.78   0.02029     9.55   0.05
  70.000  15196  28619  9.50  4.75   0.01747     9.57  -0.10
  69.800  15053  28567  9.50  4.73   0.01578     9.54   0.15
  69.600  14905  28515  9.50  4.70   0.01118     9.52   0.39
