# IERS table with UT1-UTC and polar motion
# $Id: IERS.tab,v 1.191 2015/03/06 16:16:53 control Exp $
# This table was automatically generated, roughly as follows:
#   wget ftp://maia.usno.navy.mil/ser7/ser7.dat
#   $CARMA/scripts/mk-iers.awk ser7.dat > IERS.tab
# or:
#   curl ftp://maia.usno.navy.mil/ser7/ser7.dat | $CARMA/scripts/mk-iers.awk > IERS.tab
# and placed in $CARMA/conf/catalogs
# This should be updated regularly, in A array weekly
#
# Note that MJD = JD - 2400000.5
#
# UTC (MJD)  UT1-UTC (s)  xpolCalendar (UTC)
#| mjd      |  dut1   | xpolar | ypolar |  calendar    |
#|  r       |   r     |   r    |   r    |     s        |
#| mjd      |   sec   | arcsec | arcsec |  yyyy-Mmm-dd |
#end
57231.00000  0.33710   0.2055   0.4042   2015-Jul-28
57232.00000  0.33714   0.2066   0.4028   2015-Jul-29
57233.00000  0.33712   0.2077   0.4013   2015-Jul-30
57234.00000  0.33698   0.2088   0.3999   2015-Jul-31
57235.00000  0.33667   0.2099   0.3984   2015-Aug-01
57236.00000  0.33619   0.2109   0.3969   2015-Aug-02
57237.00000  0.33556   0.2119   0.3954   2015-Aug-03
57238.00000  0.33486   0.2129   0.3939   2015-Aug-04
57239.00000  0.33418   0.2138   0.3924   2015-Aug-05
57240.00000  0.33359   0.2147   0.3908   2015-Aug-06
57241.00000  0.33314   0.2156   0.3892   2015-Aug-07
57242.00000  0.33283   0.2165   0.3877   2015-Aug-08
57243.00000  0.33267   0.2173   0.3861   2015-Aug-09
57244.00000  0.33260   0.2181   0.3844   2015-Aug-10
57245.00000  0.33258   0.2189   0.3828   2015-Aug-11
57246.00000  0.33255   0.2196   0.3812   2015-Aug-12
57247.00000  0.33249   0.2203   0.3795   2015-Aug-13
57248.00000  0.33237   0.2210   0.3779   2015-Aug-14
57249.00000  0.33217   0.2217   0.3762   2015-Aug-15
57250.00000  0.33190   0.2223   0.3745   2015-Aug-16
57251.00000  0.33157   0.2229   0.3728   2015-Aug-17
57252.00000  0.33120   0.2234   0.3711   2015-Aug-18
57253.00000  0.33082   0.2240   0.3694   2015-Aug-19
57254.00000  0.33045   0.2245   0.3677   2015-Aug-20
57255.00000  0.33011   0.2249   0.3660   2015-Aug-21
57256.00000  0.32981   0.2253   0.3642   2015-Aug-22
57257.00000  0.32954   0.2257   0.3625   2015-Aug-23
57258.00000  0.32929   0.2261   0.3608   2015-Aug-24
57259.00000  0.32904   0.2264   0.3590   2015-Aug-25
57260.00000  0.32873   0.2267   0.3572   2015-Aug-26
57261.00000  0.32830   0.2270   0.3555   2015-Aug-27
57262.00000  0.32771   0.2273   0.3537   2015-Aug-28
57263.00000  0.32693   0.2275   0.3519   2015-Aug-29
57264.00000  0.32596   0.2276   0.3501   2015-Aug-30
57265.00000  0.32487   0.2278   0.3483   2015-Aug-31
57266.00000  0.32375   0.2279   0.3465   2015-Sep-01
57267.00000  0.32271   0.2279   0.3448   2015-Sep-02
57268.00000  0.32181   0.2280   0.3430   2015-Sep-03
57269.00000  0.32111   0.2280   0.3412   2015-Sep-04
57270.00000  0.32060   0.2279   0.3394   2015-Sep-05
57271.00000  0.32025   0.2279   0.3376   2015-Sep-06
57272.00000  0.32000   0.2278   0.3358   2015-Sep-07
57273.00000  0.31983   0.2277   0.3340   2015-Sep-08
57274.00000  0.31966   0.2275   0.3322   2015-Sep-09
57275.00000  0.31948   0.2273   0.3304   2015-Sep-10
57276.00000  0.31923   0.2271   0.3286   2015-Sep-11
57277.00000  0.31892   0.2268   0.3268   2015-Sep-12
57278.00000  0.31851   0.2265   0.3250   2015-Sep-13
57279.00000  0.31803   0.2262   0.3232   2015-Sep-14
